id,ipk_smt1,ipk_smt2,ipk_smt3,ipk_smt4,ipk_smt5,ipk_smt6,ipk_smt7,ipk_smt8,kehadiran_mk1,kehadiran_mk2,kehadiran_mk3,kehadiran_mk4,kehadiran_mk5,kehadiran_mk6,retake,online_activity1,online_activity2,online_activity3,online_activity4,online_activity5,online_activity6,status_pekerjaan,beban_kerja,sosial_ekonomi
39.0,2.73,2.59,2.57,3.3,3.03,2.4,2.47,3.0,89.9,79.0,82.7,100.0,79.1,100.0,1.0,7.2,8.5,3.7,4.7,4.1,7.3,Penuh Waktu,40.0,Menengah
40.0,2.14,2.66,3.07,3.24,3.31,3.41,2.64,2.18,83.9,91.3,72.7,100.0,94.0,82.9,0.0,3.6,3.7,5.1,4.5,6.9,4.3,Tidak Bekerja,0.0,Tinggi
41.0,2.92,2.98,3.03,2.97,3.07,3.41,2.85,3.1,84.1,99.4,78.2,100.0,84.6,70.7,1.0,5.3,3.6,6.7,3.7,4.1,1.2,Tidak Bekerja,0.0,Rendah
42.0,1.96,3.13,3.14,2.96,2.27,2.73,2.75,2.17,100.0,93.8,82.8,85.3,87.1,64.6,2.0,4.5,3.6,3.0,4.4,8.6,6.3,Penuh Waktu,31.0,Rendah
43.0,2.86,3.19,3.49,3.51,2.94,2.66,2.82,3.01,90.2,98.1,100.0,82.9,100.0,96.7,0.0,4.8,8.0,8.4,4.1,8.5,7.2,Tidak Bekerja,0.0,Menengah
44.0,3.59,2.65,2.66,3.27,3.0,1.75,2.33,2.74,71.3,80.3,71.6,81.3,81.6,88.5,1.0,4.8,6.0,5.8,7.1,6.7,6.5,Paruh Waktu,11.0,Menengah
45.0,2.7,3.64,1.93,2.46,3.15,2.84,3.02,2.12,98.8,92.8,89.0,78.1,88.2,82.1,0.0,1.7,4.9,4.7,7.1,0.5,5.5,Paruh Waktu,15.0,Menengah
46.0,3.27,2.6,2.76,2.7,1.94,3.52,2.37,2.37,83.5,95.0,79.1,65.5,76.1,89.2,3.0,9.4,2.5,2.4,2.0,1.7,7.4,Paruh Waktu,10.0,Menengah
47.0,2.59,2.47,2.77,2.41,2.68,2.23,2.66,2.97,79.1,85.1,86.4,89.5,83.7,95.9,1.0,0.8,10.9,3.3,5.8,3.1,6.3,Paruh Waktu,11.0,Rendah
48.0,3.15,2.14,2.72,2.85,2.84,2.83,2.55,2.89,91.2,86.4,90.1,94.9,66.5,94.4,2.0,5.7,2.8,6.6,4.2,4.5,4.0,Tidak Bekerja,0.0,Menengah
49.0,3.14,2.55,2.02,2.3,2.08,3.33,3.42,3.54,64.8,95.7,100.0,96.1,63.5,100.0,1.0,5.1,4.5,5.9,2.9,5.0,8.2,Paruh Waktu,17.0,Menengah
50.0,,1.98,3.47,1.84,3.91,3.11,3.09,3.04,82.5,88.9,83.1,90.5,84.7,75.5,3.0,3.3,3.0,6.9,3.8,1.2,5.8,Paruh Waktu,11.0,Rendah
51.0,2.91,2.95,2.46,2.3,2.47,3.01,2.68,3.15,89.8,62.2,87.5,100.0,98.3,89.2,3.0,2.9,6.0,,4.5,5.6,8.0,Tidak Bekerja,0.0,Rendah
52.0,2.47,2.97,2.18,2.62,3.0,2.57,3.98,1.8,79.5,75.6,,78.6,71.7,92.5,1.0,3.9,5.3,4.1,3.6,8.3,6.8,Tidak Bekerja,0.0,Menengah
53.0,3.27,2.49,1.93,3.27,2.83,2.88,3.15,2.1,68.7,100.0,70.6,72.8,74.8,100.0,3.0,6.0,6.9,5.4,3.8,6.3,1.9,Paruh Waktu,19.0,Rendah
,2.62,3.61,2.8,2.41,2.25,3.06,2.29,2.79,100.0,81.9,,72.9,79.7,70.9,1.0,5.1,6.6,5.2,7.5,3.5,5.5,Paruh Waktu,10.0,Menengah
55.0,2.41,2.16,1.98,2.15,2.78,1.94,2.47,3.16,89.5,79.7,100.0,100.0,85.3,60.3,1.0,6.8,0.4,8.0,7.2,8.5,5.5,Tidak Bekerja,0.0,Rendah
56.0,3.11,2.81,2.39,4.0,3.21,1.95,2.49,3.22,77.0,88.5,94.5,,83.9,84.3,1.0,4.2,5.6,6.3,5.3,4.3,6.3,Penuh Waktu,,Menengah
57.0,2.41,2.72,2.47,2.54,2.57,2.4,2.9,2.44,85.2,77.7,69.7,94.1,90.0,100.0,2.0,2.9,4.6,4.7,7.0,4.0,2.7,Tidak Bekerja,0.0,Menengah
58.0,2.46,1.45,2.48,2.95,2.01,2.84,2.74,,86.2,75.3,97.0,83.4,84.7,75.7,3.0,4.1,3.2,4.7,8.4,2.3,1.8,Tidak Bekerja,0.0,Menengah
59.0,2.45,3.66,3.09,2.51,3.83,2.45,3.12,2.9,98.0,100.0,85.3,77.5,89.6,78.2,1.0,9.0,5.3,4.3,5.4,2.3,3.1,Tidak Bekerja,0.0,Menengah
60.0,3.34,3.11,3.25,2.37,2.04,3.5,2.59,2.62,98.3,90.6,89.6,100.0,78.6,94.3,1.0,5.1,5.5,8.1,6.0,6.1,7.1,Tidak Bekerja,0.0,Rendah
61.0,2.23,1.77,3.78,2.2,2.64,2.61,2.9,3.16,93.6,79.2,83.3,87.8,82.5,100.0,0.0,6.0,6.5,6.3,7.3,5.4,2.4,Penuh Waktu,42.0,Rendah
62.0,3.16,3.04,2.77,2.0,3.0,3.11,3.9,3.29,66.0,85.8,100.0,91.2,88.3,94.0,2.0,3.8,6.0,4.5,5.0,6.7,3.1,Penuh Waktu,37.0,Rendah
63.0,3.13,3.04,3.52,3.22,3.09,1.64,3.35,2.79,88.1,88.2,92.7,96.2,91.3,89.8,1.0,5.5,0.0,4.4,3.1,7.4,6.2,Tidak Bekerja,0.0,Rendah
64.0,2.55,2.54,2.03,1.92,2.76,3.29,2.48,2.9,92.3,75.1,84.8,,100.0,100.0,1.0,3.0,5.8,7.1,6.7,5.2,7.6,Tidak Bekerja,0.0,Rendah
65.0,2.46,2.66,3.06,3.1,2.3,3.28,2.98,2.21,71.7,84.8,93.5,93.8,88.6,85.5,2.0,6.0,3.3,8.4,8.3,5.9,5.4,Paruh Waktu,12.0,Rendah
66.0,3.01,2.48,2.17,1.31,2.74,3.64,3.58,2.52,79.0,89.7,75.0,88.0,92.7,97.3,1.0,4.8,4.6,3.2,3.3,4.5,5.7,Tidak Bekerja,0.0,Menengah
67.0,2.74,2.38,1.54,3.19,3.12,2.61,2.78,3.01,69.4,79.7,92.9,72.5,87.9,71.4,0.0,5.9,4.9,,7.3,3.5,3.4,Penuh Waktu,30.0,Menengah
68.0,2.96,3.1,2.84,2.57,2.34,2.79,2.21,1.29,,94.0,61.4,74.9,91.2,100.0,2.0,5.0,3.5,4.6,7.7,3.7,3.4,Tidak Bekerja,0.0,Rendah
69.0,2.57,3.01,2.91,2.73,2.72,2.38,2.79,3.19,75.3,84.9,95.4,90.1,98.1,79.3,1.0,1.3,5.4,5.7,7.7,7.4,6.1,Tidak Bekerja,0.0,Tinggi
70.0,3.24,3.08,3.17,2.54,2.62,2.99,2.48,2.49,88.0,92.6,83.0,73.4,77.6,87.0,2.0,5.4,5.5,6.0,5.0,5.5,4.9,Paruh Waktu,11.0,Rendah
71.0,2.77,2.62,3.65,2.86,2.35,3.05,2.89,2.9,100.0,88.5,82.0,65.4,83.3,98.1,0.0,4.8,0.5,4.0,7.0,6.1,3.3,Penuh Waktu,30.0,Rendah
72.0,2.42,1.74,3.13,3.38,1.99,3.37,2.7,3.36,85.4,86.4,88.7,77.1,96.9,73.8,0.0,4.2,6.0,4.0,6.6,7.8,7.0,Paruh Waktu,15.0,Rendah
73.0,2.5,3.47,2.92,2.86,3.09,2.45,3.18,2.92,69.4,70.7,79.3,71.8,82.6,74.9,1.0,4.8,7.8,4.9,4.4,5.8,3.6,Penuh Waktu,32.0,Menengah
74.0,3.19,2.49,3.08,2.56,2.92,2.43,2.29,2.8,66.1,82.0,68.9,92.8,95.5,76.4,3.0,5.9,6.8,6.8,5.4,6.5,3.7,Tidak Bekerja,0.0,Menengah
75.0,2.92,3.33,2.88,3.07,3.08,4.0,1.84,2.41,99.7,,93.9,87.3,100.0,73.9,3.0,7.4,8.5,3.0,6.6,3.1,5.1,Tidak Bekerja,0.0,Menengah
76.0,3.9,2.8,2.7,2.66,2.53,1.65,2.64,1.72,89.5,72.6,76.1,78.3,83.0,85.1,1.0,7.2,3.8,6.0,10.5,,4.6,Tidak Bekerja,0.0,Rendah
77.0,2.8,1.67,2.74,3.29,2.55,2.42,2.06,1.82,93.3,83.2,92.7,100.0,94.2,79.6,1.0,5.3,3.8,3.6,5.7,3.3,0.6,Tidak Bekerja,0.0,Rendah
78.0,3.01,2.67,3.36,3.33,3.34,1.88,2.85,3.13,88.8,91.4,85.6,77.6,68.0,78.5,1.0,10.4,4.0,1.1,6.5,6.7,7.6,Penuh Waktu,40.0,Menengah
79.0,3.25,2.41,3.45,2.62,2.89,2.88,2.68,3.16,92.9,67.5,98.0,68.4,95.3,96.3,2.0,2.8,4.2,2.8,4.6,4.4,6.6,Tidak Bekerja,0.0,Rendah
80.0,2.67,2.39,3.31,2.16,1.94,3.39,3.7,2.52,84.5,73.5,85.1,80.2,84.0,89.1,1.0,2.8,4.3,1.4,4.3,4.8,5.5,Penuh Waktu,33.0,Tinggi
81.0,2.21,2.91,4.0,1.85,2.49,2.41,2.53,3.26,90.4,93.5,85.3,71.8,73.9,92.5,1.0,5.3,7.5,5.6,2.6,4.0,6.1,Paruh Waktu,12.0,Menengah
82.0,2.14,3.0,,2.7,4.0,2.0,2.88,2.98,95.9,86.0,88.1,81.1,87.7,81.6,1.0,,4.3,5.8,4.9,7.3,4.9,Paruh Waktu,19.0,Menengah
83.0,3.79,2.17,2.64,3.09,3.02,2.9,1.65,1.89,100.0,100.0,83.9,98.9,74.8,77.1,2.0,2.8,3.3,6.4,3.3,9.5,5.9,Paruh Waktu,11.0,Rendah
84.0,3.35,2.03,2.84,2.82,2.44,2.91,3.52,2.4,94.6,73.7,100.0,92.8,100.0,91.7,2.0,5.8,6.6,4.7,1.8,5.9,,Paruh Waktu,11.0,Rendah
85.0,2.61,3.07,1.98,2.68,2.79,2.76,1.92,3.35,76.5,88.4,85.1,95.0,100.0,72.1,1.0,3.7,5.4,2.8,6.6,6.7,6.1,Penuh Waktu,33.0,Rendah
86.0,1.83,2.74,2.92,2.28,2.44,2.76,3.23,2.23,76.4,96.3,82.3,77.2,92.3,80.1,0.0,7.1,3.7,4.7,6.9,4.5,6.5,Penuh Waktu,34.0,Rendah
87.0,3.12,2.81,2.98,3.2,2.54,2.45,2.67,2.85,78.4,81.1,89.0,86.6,83.1,67.6,0.0,5.0,3.1,7.0,4.4,3.0,4.9,Paruh Waktu,12.0,Rendah
88.0,2.52,3.48,2.91,2.9,3.06,2.18,3.27,2.71,91.7,74.3,69.5,93.2,88.8,76.0,0.0,3.3,7.3,2.6,8.3,3.2,6.3,Penuh Waktu,40.0,Rendah
89.0,2.77,2.25,3.12,2.49,2.64,2.25,1.47,2.65,,92.8,84.8,82.4,85.2,90.5,2.0,2.6,7.2,6.4,6.4,5.9,5.0,Tidak Bekerja,0.0,Rendah
90.0,3.24,2.38,1.67,2.88,3.24,2.07,3.09,3.09,62.3,75.6,81.0,83.2,77.6,77.0,0.0,8.3,4.8,3.6,4.9,6.1,5.1,Tidak Bekerja,0.0,Rendah
,2.56,2.59,3.39,3.03,2.19,2.87,3.0,3.32,100.0,74.8,76.9,72.4,82.7,89.7,1.0,7.0,4.8,4.4,5.3,3.3,9.2,Tidak Bekerja,0.0,Tinggi
92.0,3.76,2.75,2.65,2.57,2.66,3.44,1.64,3.52,70.8,82.3,80.7,90.9,69.0,89.6,1.0,9.0,2.3,5.4,3.7,5.9,,Paruh Waktu,19.0,Menengah
93.0,3.45,3.34,2.87,2.15,2.75,3.53,3.06,2.65,91.3,72.3,78.0,74.2,89.7,92.1,2.0,4.7,3.3,5.0,4.0,3.4,5.7,Tidak Bekerja,0.0,Rendah
94.0,2.43,3.41,3.46,2.45,1.82,3.25,2.41,3.15,65.3,93.9,72.9,92.3,85.1,75.5,0.0,4.2,6.4,,6.2,9.0,1.9,Paruh Waktu,19.0,Menengah
95.0,3.19,2.67,2.59,3.3,3.08,3.02,2.81,3.24,78.4,77.1,92.5,68.7,85.9,81.8,1.0,2.2,3.1,4.8,7.1,3.7,7.4,Penuh Waktu,31.0,Menengah
96.0,2.5,2.71,2.92,2.51,2.41,2.77,2.21,2.21,91.8,73.5,91.7,89.6,67.7,78.2,2.0,7.4,3.0,4.1,5.9,6.6,4.5,Penuh Waktu,36.0,Rendah
97.0,2.11,1.85,2.82,1.88,3.14,2.05,1.63,2.6,86.4,89.9,86.7,74.4,92.1,94.6,0.0,2.6,4.6,4.5,5.4,4.6,4.9,Tidak Bekerja,0.0,Rendah
98.0,2.28,2.98,2.91,2.53,2.4,3.69,1.81,,97.9,51.1,92.9,82.8,87.6,81.8,1.0,7.2,5.7,5.3,3.2,8.8,5.0,Paruh Waktu,17.0,Rendah
99.0,2.63,2.88,2.87,3.44,2.25,2.61,2.19,2.24,88.8,93.1,78.5,92.7,96.1,100.0,1.0,5.1,3.7,3.0,2.8,7.5,2.0,Tidak Bekerja,0.0,Menengah
100.0,2.4,3.22,,2.42,2.53,2.67,3.02,2.67,98.9,96.5,73.1,90.2,100.0,80.1,1.0,4.4,3.9,4.0,1.7,2.3,5.2,,34.0,Tinggi
101.0,2.08,2.94,2.35,2.77,2.95,3.98,3.12,3.43,100.0,89.9,87.9,74.3,83.8,77.8,1.0,4.2,8.7,5.2,3.2,7.7,6.9,Tidak Bekerja,0.0,Menengah
102.0,3.14,4.0,3.83,2.26,2.03,3.47,2.82,2.5,91.2,83.4,92.0,85.7,92.2,76.1,0.0,7.8,6.4,6.3,2.8,8.4,5.0,Tidak Bekerja,0.0,Menengah
103.0,2.93,2.9,2.78,3.42,2.88,1.99,3.36,3.27,90.9,73.7,75.3,66.2,89.6,71.5,1.0,1.6,7.5,6.5,4.3,4.7,0.2,Tidak Bekerja,0.0,Menengah
104.0,3.24,2.37,2.06,2.58,2.45,3.29,2.54,3.43,88.3,93.9,85.0,97.7,73.5,86.1,2.0,4.2,7.8,8.0,5.0,2.4,5.9,Paruh Waktu,16.0,Rendah
105.0,2.5,3.47,2.12,3.16,2.61,2.61,3.15,2.92,90.7,94.7,81.7,78.9,74.1,76.7,1.0,10.9,7.5,2.3,2.4,6.0,6.1,Tidak Bekerja,0.0,Tinggi
106.0,2.79,1.64,2.64,2.32,2.84,4.0,2.93,2.59,94.2,89.8,89.2,91.1,100.0,73.7,2.0,5.9,3.1,6.1,3.2,4.2,4.4,Tidak Bekerja,0.0,Rendah
107.0,2.61,2.96,2.36,2.61,2.8,1.99,2.04,3.05,83.5,79.1,77.6,78.0,86.1,89.5,1.0,0.8,7.8,7.7,0.3,7.2,7.1,Tidak Bekerja,0.0,Menengah
108.0,3.02,3.86,2.88,2.29,2.58,2.36,2.97,2.35,80.3,72.2,83.7,86.8,58.2,87.6,2.0,4.9,3.5,9.1,6.9,2.8,6.7,Tidak Bekerja,0.0,Menengah
109.0,2.72,3.36,3.3,2.44,2.09,2.65,2.35,2.72,97.4,80.4,84.6,85.6,93.5,62.5,1.0,3.8,5.4,7.4,4.0,1.2,,Tidak Bekerja,0.0,Rendah
110.0,2.45,1.65,3.2,3.39,3.08,2.18,2.65,2.75,91.0,91.7,77.7,85.8,89.6,99.6,0.0,6.4,6.6,,7.8,5.8,3.3,Paruh Waktu,16.0,Menengah
111.0,2.2,2.57,3.07,2.02,3.48,2.57,2.82,3.33,77.1,95.6,100.0,78.4,98.7,67.4,2.0,5.8,2.5,6.9,6.7,9.2,7.8,Tidak Bekerja,,Menengah
112.0,3.57,3.96,3.41,3.11,2.83,1.98,2.68,3.4,94.0,72.1,91.1,90.3,88.5,84.7,4.0,6.3,6.4,3.7,5.9,4.6,2.0,Tidak Bekerja,0.0,Menengah
113.0,2.07,2.59,3.61,2.8,3.7,2.39,2.87,2.56,90.9,94.0,,95.4,84.9,83.1,0.0,1.5,6.3,5.3,4.9,4.6,4.9,Tidak Bekerja,0.0,Rendah
114.0,2.23,3.31,2.77,2.2,1.87,1.99,2.42,2.67,98.5,93.0,76.6,89.1,100.0,100.0,3.0,4.4,6.9,7.8,2.0,4.0,9.4,Tidak Bekerja,0.0,Menengah
115.0,3.22,2.57,2.49,2.83,2.84,2.78,2.8,2.38,92.5,91.0,71.6,81.1,85.9,79.7,1.0,6.3,4.9,5.3,4.2,1.0,0.9,Paruh Waktu,15.0,Menengah
116.0,2.87,2.17,2.94,2.65,3.63,3.54,2.52,2.67,84.3,80.5,87.0,77.4,73.7,91.2,1.0,6.3,3.4,6.8,3.7,5.5,6.6,Penuh Waktu,37.0,Tinggi
117.0,2.34,1.78,3.57,2.25,2.59,3.08,3.47,2.88,73.1,82.0,78.2,84.6,97.3,59.6,0.0,4.2,4.0,2.5,6.2,2.2,2.4,Tidak Bekerja,0.0,Tinggi
118.0,2.85,2.89,2.51,2.61,3.02,3.17,2.22,2.93,100.0,83.8,74.2,73.7,83.4,95.4,2.0,4.9,5.4,3.0,7.0,2.7,4.0,Tidak Bekerja,0.0,Menengah
119.0,,2.93,1.48,3.74,3.12,3.73,3.3,3.4,87.1,82.4,88.7,77.9,89.3,58.7,1.0,5.1,7.7,5.2,8.5,4.5,7.0,Penuh Waktu,37.0,Rendah
120.0,2.1,2.9,2.3,2.39,2.97,2.53,2.94,2.65,85.7,89.5,81.5,75.0,79.7,97.0,1.0,5.2,3.3,5.8,5.9,6.0,3.0,Tidak Bekerja,0.0,Rendah
121.0,2.9,2.94,3.43,3.09,2.68,2.16,2.39,2.62,93.3,84.7,78.4,77.7,84.3,93.9,1.0,8.2,4.6,4.9,2.6,8.9,2.2,Penuh Waktu,47.0,Rendah
,2.82,1.68,3.13,2.86,3.0,4.0,1.71,3.61,82.1,87.9,84.5,80.8,79.3,88.3,4.0,2.0,6.5,4.2,2.7,4.1,7.5,Paruh Waktu,10.0,Rendah
123.0,3.31,2.34,2.33,2.68,2.44,1.93,2.25,2.13,97.1,100.0,74.0,90.5,93.7,70.1,2.0,5.3,10.1,6.4,4.5,3.9,1.0,Paruh Waktu,10.0,Menengah
124.0,2.45,2.64,1.93,2.55,,2.52,3.07,2.65,88.2,73.5,85.9,55.1,83.1,68.7,2.0,7.4,6.6,5.9,8.0,3.1,8.5,Tidak Bekerja,0.0,Menengah
125.0,2.2,3.21,2.5,2.5,2.33,1.81,2.86,3.61,84.4,66.5,92.8,68.8,72.9,82.6,2.0,5.2,3.0,4.4,6.4,6.7,7.5,Penuh Waktu,32.0,Menengah
,2.98,3.0,2.84,2.29,2.24,2.7,2.82,2.41,89.2,100.0,67.6,90.8,84.3,89.5,3.0,4.1,4.7,5.3,4.4,2.0,4.5,Paruh Waktu,10.0,Rendah
127.0,,2.84,2.16,2.85,2.53,3.27,2.82,3.17,82.0,82.3,99.9,89.4,77.9,94.0,1.0,3.9,5.5,8.7,2.1,4.6,,Tidak Bekerja,0.0,Menengah
128.0,2.39,2.37,,2.78,2.79,2.66,2.14,3.09,89.1,86.7,83.8,82.1,94.1,83.6,1.0,4.9,6.1,5.4,8.3,1.5,5.6,Tidak Bekerja,0.0,Rendah
129.0,2.8,1.99,2.48,2.89,2.31,,1.62,2.42,73.5,75.2,82.3,79.0,73.3,63.8,1.0,5.6,6.5,4.2,4.5,5.0,8.2,Tidak Bekerja,0.0,Rendah
130.0,2.68,2.85,2.83,3.25,3.02,,2.22,3.35,77.8,78.4,87.7,88.0,74.3,83.3,0.0,8.0,2.1,8.0,4.5,0.3,2.3,Tidak Bekerja,0.0,Rendah
