ipk_smt1,ipk_smt2,ipk_smt3,ipk_smt4,ipk_smt5,ipk_smt6,ipk_smt7,ipk_smt8,kehadiran_mk1,kehadiran_mk2,kehadiran_mk3,kehadiran_mk4,kehadiran_mk5,kehadiran_mk6,retake,online_activity1,online_activity2,online_activity3,online_activity4,online_activity5,online_activity6,status_pekerjaan,beban_kerja,sosial_ekonomi,cluster
2.65,3.22,3.18,2.75,2.52,2.92,1.88,3.74,91.5,93.7,74.3,97.8,80.4,75.5,0,4.9,4.9,2.8,3.2,3.1,3.1,Paruh Waktu,0,Tinggi,1
2.67,2.74,2.97,3.09,2.2,2.34,2.26,3.46,83.8,85.2,85.6,77.8,100,89.1,0,5.1,2.8,2.7,4.4,3.6,2.9,Paruh Waktu,0,Rendah,1
2.03,3.18,2.28,2.14,3.17,2.93,3.15,3.21,100,83.4,70.4,87.7,78.3,75.4,1,5.2,6.7,3.3,7.5,3,4.5,Paruh Waktu,0,Menengah,1
2.44,3.12,2.12,2.2,3.18,2.92,2.53,2.93,75.5,86.1,86.3,81.3,76.6,85.7,0,4.9,4.1,2.9,5,4.1,2.9,Tidak Bekerja,14,Menengah,1
3.89,2.44,1.98,1.81,3.11,1.81,2.56,2.97,86.9,89.3,87.2,97.8,75.5,78.2,0,3.5,6.7,6.8,5.9,7.4,2.6,Tidak Bekerja,11,Menengah,1
3.09,2.72,3.33,2.12,2.12,3.13,2.17,3.05,88.7,78.1,88.7,72.7,75,85,0,5.2,4.4,5.9,5.8,8.1,5.1,Tidak Bekerja,13,Rendah,1
2.86,2.79,3.56,3.73,2.36,2.75,2.85,2.76,91.3,82.6,74.3,82.2,75,95.4,1,8.8,5.5,5.2,5.3,7.4,7.3,Penuh Waktu,32,Rendah,0
2.64,3.02,2.67,2.22,2.79,2.64,2.71,1.415,91.8,81.9,71.5,84.5,91.4,81.7,0,2.7,5.4,5.2,6.8,4.1,7.4,Tidak Bekerja,14,Rendah,1
2.61,2.44,2.73,2.89,3.28,2.8,2.47,3.26,76.8,68.7,97.1,96.4,77.1,81,1,3.2,5.7,8.5,6.4,7.1,6.6,Penuh Waktu,45,Menengah,0
3.79,2.24,2.57,2.96,2.72,2.26,3.31,3.91,87,76,69.5,87.6,96,89.8,0,5,3.8,2.8,6.7,6.8,1.9,Penuh Waktu,37,Menengah,0
